acc	subtype	type
91624	1.1	entrez
26112	1.1	entrez
80760	1.1	entrez
253827	1.1	entrez
5743	1.1	entrez
6876	1.1	entrez
8490	1.1	entrez
100507098	1.1	entrez
221091	1.1	entrez
100127983	1.1	entrez
4211	1.1	entrez
53918	1.1	entrez
1465	1.1	entrez
8404	1.1	entrez
23022	1.1	entrez
59	1.1	entrez
10398	1.1	entrez
2040	1.1	entrez
2878	1.1	entrez
3678	1.1	entrez
4629	1.1	entrez
3487	1.1	entrez
2273	1.1	entrez
800	1.1	entrez
4837	1.1	entrez
12	1.1	entrez
5997	1.1	entrez
6840	1.1	entrez
2354	1.1	entrez
5019	1.1	entrez
4026	1.1	entrez
730	1.1	entrez
4130	1.1	entrez
10231	1.1	entrez
687	1.1	entrez
4023	1.1	entrez
9638	1.1	entrez
2263	1.1	entrez
7111	1.1	entrez
5142	1.1	entrez
3708	1.1	entrez
23635	1.1	entrez
2983	1.1	entrez
1756	1.1	entrez
3248	1.1	entrez
10129	1.1	entrez
2791	1.1	entrez
65055	1.1	entrez
2247	1.1	entrez
6622	1.1	entrez
2596	1.1	entrez
2669	1.1	entrez
7122	1.1	entrez
5144	1.1	entrez
9760	1.1	entrez
1346	1.1	entrez
10752	1.1	entrez
8910	1.1	entrez
10351	1.1	entrez
4675	1.1	entrez
9737	1.1	entrez
7357	1.1	entrez
8639	1.1	entrez
10267	1.1	entrez
5350	1.1	entrez
8777	1.1	entrez
316	1.1	entrez
5742	1.1	entrez
70	1.1	entrez
10090	1.1	entrez
4921	1.1	entrez
10290	1.1	entrez
26137	1.1	entrez
11341	1.1	entrez
10439	1.1	entrez
22915	1.1	entrez
1511	1.1	entrez
7177	1.1	entrez
8630	1.1	entrez
2157	1.1	entrez
9369	1.1	entrez
4919	1.1	entrez
25859	1.1	entrez
624	1.1	entrez
3782	1.1	entrez
26040	1.1	entrez
2294	1.1	entrez
3777	1.1	entrez
2042	1.1	entrez
7168	1.1	entrez
6263	1.1	entrez
9934	1.1	entrez
28513	1.1	entrez
23266	1.1	entrez
9194	1.1	entrez
64499	1.1	entrez
4212	1.1	entrez
2532	1.1	entrez
1827	1.1	entrez
5136	1.1	entrez
716	1.1	entrez
8611	1.1	entrez
2824	1.1	entrez
84617	1.1	entrez
4208	1.1	entrez
10979	1.1	entrez
5178	1.1	entrez
1410	1.1	entrez
10418	1.1	entrez
23345	1.1	entrez
2823	1.1	entrez
11030	1.1	entrez
3479	1.1	entrez
125	1.1	entrez
27295	1.1	entrez
83604	1.1	entrez
6387	1.1	entrez
114088	1.1	entrez
3779	1.1	entrez
3082	1.1	entrez
5354	1.1	entrez
6935	1.1	entrez
10962	1.1	entrez
140597	1.1	entrez
3306	1.1	entrez
25802	1.1	entrez
8572	1.1	entrez
83988	1.1	entrez
715	1.1	entrez
493	1.1	entrez
5087	1.1	entrez
115207	1.1	entrez
6925	1.1	entrez
219654	1.1	entrez
22982	1.1	entrez
23111	1.1	entrez
10486	1.1	entrez
4239	1.1	entrez
23500	1.1	entrez
158471	1.1	entrez
83700	1.1	entrez
25822	1.1	entrez
4684	1.1	entrez
23034	1.1	entrez
23452	1.1	entrez
1052	1.1	entrez
23331	1.1	entrez
85453	1.1	entrez
11037	1.1	entrez
7991	1.1	entrez
23114	1.1	entrez
23066	1.1	entrez
23157	1.1	entrez
55742	1.1	entrez
783	1.1	entrez
3075	1.1	entrez
3752	1.1	entrez
2774	1.1	entrez
375057	1.1	entrez
5733	1.1	entrez
57188	1.1	entrez
347733	1.1	entrez
1464	1.1	entrez
4856	1.1	entrez
85458	1.1	entrez
221981	1.1	entrez
5322	1.1	entrez
1645	1.1	entrez
6347	1.1	entrez
2	1.1	entrez
10580	1.1	entrez
51177	1.1	entrez
55859	1.1	entrez
25959	1.1	entrez
7227	1.1	entrez
56892	1.1	entrez
51299	1.1	entrez
51309	1.1	entrez
8436	1.1	entrez
54873	1.1	entrez
7145	1.1	entrez
55084	1.1	entrez
57161	1.1	entrez
